modèle,RMSE,MAE,R²,Score Train,Score Test
LinearRegression,0.3977747132916926,0.2606564515736233,0.829478626133356,0.7496529355425989,0.829478626133356
RandomForestRegressor,0.3807092629597831,0.1994140821430414,0.8437962817211956,0.9732729475988268,0.8437962817211956
XGBRegressor,0.4304950426639841,0.2244527037592669,0.8002711553767732,0.9953203150737688,0.8002711553767732
SVR,0.3257842925996375,0.1612768303609318,0.885616136097067,0.829906374268747,0.885616136097067
Random Forest (Tuning),0.331241315954516,0.17785102109581816,0.8817520874097995,0.8499957389183731,0.8817520874097995
XGBoost (Tuning),0.3242774796845851,0.1813437393801541,0.8866717824259923,0.8518004610987092,0.8866717824259923
SVR (Tuning),0.3182314017442416,0.15825904688738432,0.8908583427853203,0.8328191335196812,0.8908583427853203
